"filename", "language", "JSON with Comments", "JSON", "SCSS", "XML", "TypeScript", "HTML", "JavaScript", "Swift", "comment", "blank", "total"
"c:\Users\oscar\Proyect1\src\app\detail\modal-idiom-cv\modal-idiom-cv.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-idiom-cv\modal-idiom-cv.page.ts", "TypeScript", 0, 0, 0, 0, 52, 0, 0, 0, 0, 12, 64
"c:\Users\oscar\Proyect1\src\app\detail\modal-pago\modal-pago-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-pago\modal-pago.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-pago\modal-pago.page.html", "HTML", 0, 0, 0, 0, 0, 42, 0, 0, 0, 2, 44
"c:\Users\oscar\Proyect1\src\app\detail\modal-pago\modal-pago.page.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\oscar\Proyect1\src\app\detail\modal-pago\modal-pago.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-pago\modal-pago.page.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 0, 11, 56
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamista\modal-prestamista-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamista\modal-prestamista.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamista\modal-prestamista.page.html", "HTML", 0, 0, 0, 0, 0, 21, 0, 0, 0, 2, 23
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamista\modal-prestamista.page.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamista\modal-prestamista.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamista\modal-prestamista.page.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 2, 10, 41
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamo\modal-prestamo-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamo\modal-prestamo.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamo\modal-prestamo.page.html", "HTML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 4, 36
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamo\modal-prestamo.page.scss", "SCSS", 0, 0, 18, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamo\modal-prestamo.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestamo\modal-prestamo.page.ts", "TypeScript", 0, 0, 0, 0, 33, 0, 0, 0, 2, 10, 45
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestatario\modal-prestatario-routing.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestatario\modal-prestatario.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 5, 21
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestatario\modal-prestatario.page.html", "HTML", 0, 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestatario\modal-prestatario.page.scss", "SCSS", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 11
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestatario\modal-prestatario.page.spec.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 6, 25
"c:\Users\oscar\Proyect1\src\app\detail\modal-prestatario\modal-prestatario.page.ts", "TypeScript", 0, 0, 0, 0, 29, 0, 0, 0, 2, 10, 41
